arquitetura,loss,regularizacao,fold,auc_pr
ResNet50,ce,none,0,0.599
ResNet50,ce,none,1,0.518
ResNet50,ce,none,2,0.710
ResNet50,ce,none,3,0.485
ResNet50,ce,none,4,0.808
ResNet50,ce,mixup,0,0.662
ResNet50,ce,mixup,1,0.618
ResNet50,ce,mixup,2,0.761
ResNet50,ce,mixup,3,0.567
ResNet50,ce,mixup,4,0.722
ResNet50,ce,cutmix,0,0.718
ResNet50,ce,cutmix,1,0.629
ResNet50,ce,cutmix,2,0.766
ResNet50,ce,cutmix,3,0.612
ResNet50,ce,cutmix,4,0.752
ResNet50,weighted,none,0,0.647
ResNet50,weighted,none,1,0.540
ResNet50,weighted,none,2,0.758
ResNet50,weighted,none,3,0.402
ResNet50,weighted,none,4,0.789
ResNet50,weighted,mixup,0,0.751
ResNet50,weighted,mixup,1,0.672
ResNet50,weighted,mixup,2,0.816
ResNet50,weighted,mixup,3,0.575
ResNet50,weighted,mixup,4,0.759
ResNet50,weighted,cutmix,0,0.774
ResNet50,weighted,cutmix,1,0.655
ResNet50,weighted,cutmix,2,0.767
ResNet50,weighted,cutmix,3,0.618
ResNet50,weighted,cutmix,4,0.842
ResNet50,focal,none,0,0.708
ResNet50,focal,none,1,0.662
ResNet50,focal,none,2,0.702
ResNet50,focal,none,3,0.482
ResNet50,focal,none,4,0.815
ResNet50,focal,mixup,0,0.722
ResNet50,focal,mixup,1,0.582
ResNet50,focal,mixup,2,0.679
ResNet50,focal,mixup,3,0.557
ResNet50,focal,mixup,4,0.772
ResNet50,focal,cutmix,0,0.733
ResNet50,focal,cutmix,1,0.608
ResNet50,focal,cutmix,2,0.769
ResNet50,focal,cutmix,3,0.610
ResNet50,focal,cutmix,4,0.824
EfficientNet-B0,ce,none,0,0.543
EfficientNet-B0,ce,none,1,0.542
EfficientNet-B0,ce,none,2,0.613
EfficientNet-B0,ce,none,3,0.604
EfficientNet-B0,ce,none,4,0.686
EfficientNet-B0,ce,mixup,0,0.552
EfficientNet-B0,ce,mixup,1,0.525
EfficientNet-B0,ce,mixup,2,0.676
EfficientNet-B0,ce,mixup,3,0.678
EfficientNet-B0,ce,mixup,4,0.545
EfficientNet-B0,ce,cutmix,0,0.661
EfficientNet-B0,ce,cutmix,1,0.495
EfficientNet-B0,ce,cutmix,2,0.629
EfficientNet-B0,ce,cutmix,3,0.599
EfficientNet-B0,ce,cutmix,4,0.598
EfficientNet-B0,weighted,none,0,0.661
EfficientNet-B0,weighted,none,1,0.573
EfficientNet-B0,weighted,none,2,0.572
EfficientNet-B0,weighted,none,3,0.548
EfficientNet-B0,weighted,none,4,0.650
EfficientNet-B0,weighted,mixup,0,0.411
EfficientNet-B0,weighted,mixup,1,0.359
EfficientNet-B0,weighted,mixup,2,0.599
EfficientNet-B0,weighted,mixup,3,0.453
EfficientNet-B0,weighted,mixup,4,0.421
EfficientNet-B0,weighted,cutmix,0,0.517
EfficientNet-B0,weighted,cutmix,1,0.293
EfficientNet-B0,weighted,cutmix,2,0.675
EfficientNet-B0,weighted,cutmix,3,0.520
EfficientNet-B0,weighted,cutmix,4,0.528
EfficientNet-B0,focal,none,0,0.639
EfficientNet-B0,focal,none,1,0.417
EfficientNet-B0,focal,none,2,0.631
EfficientNet-B0,focal,none,3,0.557
EfficientNet-B0,focal,none,4,0.620
EfficientNet-B0,focal,mixup,0,0.362
EfficientNet-B0,focal,mixup,1,0.215
EfficientNet-B0,focal,mixup,2,0.509
EfficientNet-B0,focal,mixup,3,0.412
EfficientNet-B0,focal,mixup,4,0.321
EfficientNet-B0,focal,cutmix,0,0.402
EfficientNet-B0,focal,cutmix,1,0.162
EfficientNet-B0,focal,cutmix,2,0.414
EfficientNet-B0,focal,cutmix,3,0.469
EfficientNet-B0,focal,cutmix,4,0.431
MobileNetV2,ce,none,0,0.532
MobileNetV2,ce,none,1,0.442
MobileNetV2,ce,none,2,0.685
MobileNetV2,ce,none,3,0.389
MobileNetV2,ce,none,4,0.564
MobileNetV2,ce,mixup,0,0.221
MobileNetV2,ce,mixup,1,0.307
MobileNetV2,ce,mixup,2,0.604
MobileNetV2,ce,mixup,3,0.360
MobileNetV2,ce,mixup,4,0.551
MobileNetV2,ce,cutmix,0,0.410
MobileNetV2,ce,cutmix,1,0.272
MobileNetV2,ce,cutmix,2,0.498
MobileNetV2,ce,cutmix,3,0.298
MobileNetV2,ce,cutmix,4,0.359
MobileNetV2,weighted,none,0,0.522
MobileNetV2,weighted,none,1,0.377
MobileNetV2,weighted,none,2,0.630
MobileNetV2,weighted,none,3,0.413
MobileNetV2,weighted,none,4,0.552
MobileNetV2,weighted,mixup,0,0.295
MobileNetV2,weighted,mixup,1,0.333
MobileNetV2,weighted,mixup,2,0.523
MobileNetV2,weighted,mixup,3,0.398
MobileNetV2,weighted,mixup,4,0.445
MobileNetV2,weighted,cutmix,0,0.280
MobileNetV2,weighted,cutmix,1,0.243
MobileNetV2,weighted,cutmix,2,0.356
MobileNetV2,weighted,cutmix,3,0.352
MobileNetV2,weighted,cutmix,4,0.425
MobileNetV2,focal,none,0,0.420
MobileNetV2,focal,none,1,0.465
MobileNetV2,focal,none,2,0.616
MobileNetV2,focal,none,3,0.430
MobileNetV2,focal,none,4,0.466
MobileNetV2,focal,mixup,0,0.251
MobileNetV2,focal,mixup,1,0.290
MobileNetV2,focal,mixup,2,0.283
MobileNetV2,focal,mixup,3,0.243
MobileNetV2,focal,mixup,4,0.449
MobileNetV2,focal,cutmix,0,0.259
MobileNetV2,focal,cutmix,1,0.162
MobileNetV2,focal,cutmix,2,0.193
MobileNetV2,focal,cutmix,3,0.209
MobileNetV2,focal,cutmix,4,0.283
