arquitetura,loss,regularizacao,seed,auc_pr
ResNet50,weighted,cutmix,42,0.721
ResNet50,weighted,cutmix,7,0.636
ResNet50,weighted,cutmix,123,0.669
ResNet50,weighted,cutmix,0,0.730
ResNet50,weighted,cutmix,2024,0.706
ResNet50,weighted,mixup,42,0.753
ResNet50,weighted,mixup,7,0.692
ResNet50,weighted,mixup,123,0.775
ResNet50,weighted,mixup,0,0.729
ResNet50,weighted,mixup,2024,0.737
ResNet50,focal,cutmix,42,0.723
ResNet50,focal,cutmix,7,0.749
ResNet50,focal,cutmix,123,0.743
ResNet50,focal,cutmix,0,0.654
ResNet50,focal,cutmix,2024,0.654
ResNet50,ce,cutmix,42,0.672
ResNet50,ce,cutmix,7,0.698
ResNet50,ce,cutmix,123,0.706
ResNet50,ce,cutmix,0,0.840
ResNet50,ce,cutmix,2024,0.770
ResNet50,focal,none,42,0.711
ResNet50,focal,none,7,0.609
ResNet50,focal,none,123,0.682
ResNet50,focal,none,0,0.696
ResNet50,focal,none,2024,0.762
