arquitetura,loss,regularizacao,auc_pr_media,auc_pr_std,auc_roc_media,f1_media
ResNet50,weighted,cutmix,0.7312,0.0922,0.9161,0.6468
ResNet50,weighted,mixup,0.7146,0.0934,0.9097,0.5437
ResNet50,focal,cutmix,0.7088,0.0967,0.9194,0.3247
ResNet50,ce,cutmix,0.6954,0.0708,0.9055,0.61
ResNet50,focal,none,0.6738,0.1213,0.8956,0.5739
ResNet50,ce,mixup,0.666,0.0779,0.9195,0.56
ResNet50,focal,mixup,0.6624,0.0914,0.9092,0.226
ResNet50,weighted,none,0.6272,0.1597,0.8665,0.6032
ResNet50,ce,none,0.624,0.1346,0.8674,0.5664
EfficientNet-B0,weighted,none,0.6008,0.0511,0.8744,0.5624
EfficientNet-B0,ce,none,0.5976,0.0595,,
EfficientNet-B0,ce,cutmix,0.5964,0.0623,,
EfficientNet-B0,ce,mixup,0.5952,0.0753,,
EfficientNet-B0,focal,none,0.5728,0.0929,,
MobileNetV2,ce,none,0.5224,0.1146,,
EfficientNet-B0,weighted,cutmix,0.5066,0.1367,,
MobileNetV2,weighted,none,0.4988,0.1034,,
MobileNetV2,focal,none,0.4794,0.0791,,
EfficientNet-B0,weighted,mixup,0.4486,0.0906,,
MobileNetV2,ce,mixup,0.4086,0.163,,
MobileNetV2,weighted,mixup,0.3988,0.0904,,
EfficientNet-B0,focal,cutmix,0.3756,0.1221,,
MobileNetV2,ce,cutmix,0.3674,0.0906,,
EfficientNet-B0,focal,mixup,0.3638,0.1088,,
MobileNetV2,weighted,cutmix,0.3312,0.0711,,
MobileNetV2,focal,mixup,0.3032,0.0839,,
MobileNetV2,focal,cutmix,0.2212,0.0492,,
